               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09722,            0.056085,                   0,             0.36759,             0.36486,             0.30471,            0.099302,            0.068519,             0.01722,                   0,            0.070341,           0.0032955,           0.0032955
                   1,            0.070446,            0.048078,                   0,             0.35572,             0.56757,             0.41213,             0.15458,            0.060989,           0.0099058,                   0,            0.040319,           0.0066069,           0.0066069
                   2,            0.066608,            0.045009,                   0,             0.60492,             0.64189,             0.60098,             0.21438,            0.057652,           0.0086873,                   0,            0.010275,           0.0098964,           0.0098964
                   3,            0.059898,            0.045541,                   0,             0.83628,             0.72479,             0.76379,             0.31959,            0.047209,           0.0091341,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.054131,            0.044247,                   0,             0.87127,             0.71622,             0.79836,             0.36871,             0.04158,           0.0095501,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.051785,             0.04402,                   0,             0.91082,             0.68919,             0.80369,             0.41434,            0.039919,            0.010326,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.050323,            0.043267,                   0,             0.89876,             0.77027,             0.84866,             0.42184,            0.038244,           0.0096703,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.048378,            0.041442,                   0,             0.90542,             0.74324,              0.8169,             0.40732,            0.041152,           0.0098341,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.048446,            0.041311,                   0,             0.87125,             0.83108,             0.83804,             0.40384,            0.041237,           0.0086055,                   0,            0.009769,            0.009769,            0.009769
                   9,             0.04695,            0.042262,                   0,             0.82557,             0.83148,             0.83333,             0.40417,            0.040983,           0.0096674,                   0,            0.009736,            0.009736,            0.009736
                  10,            0.046386,            0.042614,                   0,             0.91001,             0.81081,             0.87284,             0.44618,            0.040544,           0.0087144,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.045525,            0.040041,                   0,             0.71363,             0.69034,             0.72335,             0.30498,            0.051921,           0.0092089,                   0,             0.00967,             0.00967,             0.00967
                  12,             0.04465,            0.038787,                   0,             0.79702,                0.75,             0.79089,             0.35041,            0.044613,           0.0084631,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.044982,            0.039691,                   0,             0.91982,             0.81081,             0.87175,             0.46253,            0.035381,           0.0095315,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.043546,            0.039735,                   0,             0.89017,             0.82148,             0.86345,             0.47368,            0.038075,           0.0092199,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.042888,             0.03819,                   0,              0.8457,             0.83108,             0.86303,             0.46718,            0.040836,           0.0079633,                   0,            0.009538,            0.009538,            0.009538
                  16,             0.04141,            0.037366,                   0,             0.85846,             0.81964,             0.88788,             0.48157,            0.034755,           0.0087652,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.042666,             0.03681,                   0,              0.7833,              0.8304,             0.83424,             0.38757,            0.047294,           0.0082061,                   0,            0.009472,            0.009472,            0.009472
                  18,            0.041385,            0.038132,                   0,             0.90972,             0.81703,             0.90108,             0.47595,            0.038944,           0.0080266,                   0,            0.009439,            0.009439,            0.009439
                  19,            0.041766,            0.036748,                   0,             0.90699,             0.85811,             0.89522,             0.44039,            0.040917,            0.007895,                   0,            0.009406,            0.009406,            0.009406
                  20,            0.040019,            0.035795,                   0,             0.88849,             0.75373,             0.85158,             0.45025,            0.043894,           0.0095479,                   0,            0.009373,            0.009373,            0.009373
                  21,            0.040086,            0.036199,                   0,             0.87938,             0.84459,             0.88528,             0.45902,            0.036912,           0.0086316,                   0,             0.00934,             0.00934,             0.00934
                  22,            0.039545,            0.036186,                   0,             0.88864,             0.86273,             0.89764,             0.49128,            0.038349,           0.0080705,                   0,            0.009307,            0.009307,            0.009307
                  23,            0.038889,            0.035743,                   0,             0.89292,             0.84517,             0.90326,             0.49374,            0.034499,            0.009093,                   0,            0.009274,            0.009274,            0.009274
                  24,            0.038816,            0.034694,                   0,             0.86181,             0.85811,             0.88138,             0.49207,            0.036899,           0.0083485,                   0,            0.009241,            0.009241,            0.009241
                  25,            0.038939,            0.034843,                   0,             0.90983,             0.87162,             0.91415,             0.49609,            0.034398,           0.0081267,                   0,            0.009208,            0.009208,            0.009208
                  26,            0.037987,            0.035664,                   0,             0.90707,             0.85738,             0.89122,             0.49157,            0.037554,           0.0081578,                   0,            0.009175,            0.009175,            0.009175
                  27,            0.038175,            0.034652,                   0,             0.83904,             0.74324,             0.80917,             0.38047,             0.04633,            0.008584,                   0,            0.009142,            0.009142,            0.009142
                  28,            0.036833,            0.034123,                   0,             0.85079,             0.80405,             0.86288,             0.47449,            0.036417,           0.0088074,                   0,            0.009109,            0.009109,            0.009109
                  29,            0.037183,             0.03325,                   0,              0.8675,              0.7963,             0.86617,             0.44912,            0.038724,           0.0090227,                   0,            0.009076,            0.009076,            0.009076
                  30,            0.036682,            0.032748,                   0,             0.82175,              0.7973,             0.83134,             0.38964,            0.044819,           0.0088943,                   0,            0.009043,            0.009043,            0.009043
                  31,            0.036217,            0.033825,                   0,             0.90426,             0.86486,             0.88916,              0.4716,            0.038475,           0.0083874,                   0,             0.00901,             0.00901,             0.00901
                  32,              0.0368,            0.034009,                   0,             0.93208,             0.83454,             0.89581,              0.4636,            0.037847,           0.0090929,                   0,            0.008977,            0.008977,            0.008977
                  33,            0.036366,            0.034205,                   0,              0.9541,             0.84273,             0.89844,             0.48441,            0.037137,           0.0091288,                   0,            0.008944,            0.008944,            0.008944
                  34,            0.035357,            0.033452,                   0,             0.88302,             0.81609,             0.86897,             0.44821,             0.04129,            0.008963,                   0,            0.008911,            0.008911,            0.008911
                  35,            0.035664,            0.032604,                   0,             0.86715,             0.77027,             0.82497,             0.42996,            0.040175,           0.0094508,                   0,            0.008878,            0.008878,            0.008878
                  36,             0.03461,            0.032358,                   0,             0.91804,             0.87838,             0.90317,             0.48566,             0.03781,           0.0086135,                   0,            0.008845,            0.008845,            0.008845
                  37,            0.034018,            0.031806,                   0,              0.8853,             0.83445,             0.88315,             0.48565,            0.038893,           0.0084201,                   0,            0.008812,            0.008812,            0.008812
                  38,            0.034667,            0.033005,                   0,             0.91648,             0.89189,             0.92847,             0.50995,            0.036087,           0.0083123,                   0,            0.008779,            0.008779,            0.008779
                  39,            0.033807,            0.032085,                   0,             0.91767,             0.83784,             0.89871,             0.48634,            0.040585,           0.0083683,                   0,            0.008746,            0.008746,            0.008746
                  40,             0.03452,            0.031497,                   0,             0.87577,             0.68919,             0.79178,             0.39987,             0.04591,            0.010797,                   0,            0.008713,            0.008713,            0.008713
                  41,            0.033383,            0.031451,                   0,             0.89773,             0.83108,             0.90039,              0.4802,             0.03644,           0.0081031,                   0,             0.00868,             0.00868,             0.00868
                  42,             0.03304,            0.030663,                   0,             0.87803,             0.82688,             0.87191,             0.45738,             0.03897,            0.008314,                   0,            0.008647,            0.008647,            0.008647
                  43,            0.032417,            0.030353,                   0,             0.89997,             0.85135,             0.89699,             0.49944,            0.035464,           0.0084866,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.031884,            0.030739,                   0,             0.92098,             0.77703,             0.86551,             0.47025,            0.039362,           0.0088764,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.033001,            0.029885,                   0,             0.90643,             0.86486,             0.89933,             0.49907,            0.036898,           0.0084203,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.032373,            0.031386,                   0,             0.84469,             0.85135,             0.87693,             0.45559,             0.04014,           0.0085657,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.032335,            0.030231,                   0,             0.87372,             0.84149,             0.87496,             0.42497,            0.037246,           0.0086919,                   0,            0.008482,            0.008482,            0.008482
